address,price,beds,baths,sqft,lot_hoa_walk,agent,url
"Property at 350 W 42nd St Unit 27K, New York City, NY 10036, 1 bed, 1 bath","$1,195,000",1 bed,1 bath,710 sq ft,"$1,050 HOA; Garage; Walker's paradise",Listing by Compass • Provided by REBNY,https://www.redfin.com/NY/New-York/350-W-42nd-St-10036/unit-27K/home/45191084
"Property at 473 W End Ave Unit 12AA, New York City, NY 10024, 4 beds, 3 baths","$2,695,000",4 beds,3 baths,— sq ft,"$5,763 HOA; Walker's paradise",Listing by Compass • Provided by REBNY,https://www.redfin.com/NY/New-York/473-W-End-Ave-10024/unit-12AA/home/196255834
"Property at 147-31 Hoover Ave, Briarwood, NY 11435, 2 beds, 1.5 baths","$799,000",2 beds,1.5 baths,"1,600 sq ft","1,600 sq ft lot; Very walkable",Listing by Olam Realty Group,https://www.redfin.com/NY/Jamaica/14731-Hoover-Ave-11435/home/20765687
"Property at 7309 31 Ave, East Elmhurst, NY 11370, 2 beds","$1,549,000",2 beds,— baths,"2,422 sq ft","1,785 sq ft lot; Garage; Very walkable",Listing by Winzone Realty Inc,https://www.redfin.com/NY/East-Elmhurst/7309-31st-Ave-11370/home/20942853
"Property at 416 W 52nd St #611, New York City, NY 10019, 1 bed, 1 bath","$845,000",1 bed,1 bath,580 sq ft,$453 HOA; Walker's paradise,Listing by Corcoran Group • Provided by REBNY,https://www.redfin.com/NY/New-York/416-W-52nd-St-10019/unit-611/home/144132290
"Property at 63-09 108 St Unit 5L, Forest Hills, NY 11375, 2 beds, 1.5 baths","$470,000",2 beds,1.5 baths,"1,100 sq ft","$1,388 HOA; Garage; Very walkable",Listing by Exit Realty First Choice,https://www.redfin.com/NY/Flushing/63-09-108th-St-11375/unit-5L/home/196255785
"Property at 2711 E 26th St, Brooklyn, NY 11235, 9 beds, 7.5 baths","$6,999,000",9 beds,7.5 baths,— sq ft,"9,003 sq ft lot; Garage; Pool",Listing by Bergen Basin Realty LLC,https://www.redfin.com/NY/Brooklyn/2711-E-26th-St-11235/home/189513749
"Property at 21-62 24th St, New York City, NY 11105","$1,995,000",0 beds,— baths,"2,500 sq ft","2,500 sq ft lot; Very walkable",Listing by Modern Spaces • Provided by REBNY,https://www.redfin.com/NY/Astoria/2162-24th-St-11105/home/20948352
"Property at 102-30 Queens Blvd Unit 6-H, Forest Hills, NY 11375, 1 bath","$249,000",0 beds,1 bath,— sq ft,$790 HOA; Walker's paradise,Listing by New York Way Real Estate Corp,https://www.redfin.com/NY/Forest-Hills/10230-Queens-Blvd-11375/unit-6H/home/190551515
"Property at 1019 Hancock St Unit 1A, Brooklyn, NY 11221, 1 bed, 1.5 baths","$795,000",1 bed,1.5 baths,"1,175 sq ft",$350 HOA; Walker's paradise,Listing by Serhant • Provided by REBNY,https://www.redfin.com/NY/Brooklyn/1019-Hancock-St-11221/unit-1A/home/195795876
"Property at 6633 Avenue M, Brooklyn, NY 11234, 7 beds, 5 baths","$2,049,000",7 beds,5 baths,"3,291 sq ft","3,944 sq ft lot; Garage; Walker's paradise",Listing by Keller Williams Legendary,https://www.redfin.com/NY/Brooklyn/6633-Avenue-M-11234/home/40897278
"Property at 14031 Cherry Ave Unit 6B, Flushing, NY 11355, 2 beds, 2 baths","$639,000",2 beds,2 baths,800 sq ft,$432 HOA; Garage; Walker's paradise,Listing by E Realty International Corp,https://www.redfin.com/NY/Flushing/14031-Cherry-Ave-11355/unit-6B/home/21690353
"Property at 66-01 Burns Unit 3V, Rego Park, NY 11374, 1 bed, 1 bath","$350,000",1 bed,1 bath,820 sq ft,$795 HOA; Garage; Very walkable,Listing by Mega Homes Realty Inc,https://www.redfin.com/NY/Rego-Park/66-01-Burns-St-11374/unit-3v/home/170104799
"Property at 63 Brighton 2nd Pl Unit 4A, Brooklyn, NY 11235, 1 bed, 1 bath","$498,000",1 bed,1 bath,834 sq ft,Walker's paradise,Listing by High Class Realty SB LLC.,https://www.redfin.com/NY/Brooklyn/63-Brighton-2nd-Pl-11235/unit-4A/home/52048007
"Property at 130 Bradhurst Ave #1201, New York City, NY 10039, 2 beds, 1 bath","$599,000",2 beds,1 bath,857 sq ft,"$1,598 HOA; Garage; Walker's paradise",Listing by Wohlfarth & Associates Inc • Provided by REBNY,https://www.redfin.com/NY/New-York/130-Bradhurst-Ave-10039/unit-1201/home/53327383
"Property at 9619 95th Ave, Ozone Park, NY 11416, 3 beds, 3 baths","$769,000",3 beds,3 baths,"1,368 sq ft","2,500 sq ft lot; Garage; Very walkable",Listing by Terra Realty Group Inc,https://www.redfin.com/NY/Ozone-Park/9619-95th-Ave-11416/home/20783123
"Property at 33 Dreyer Ave, Staten Island, NY 10314, 3 beds, 2.5 baths","$748,000",3 beds,2.5 baths,"1,776 sq ft","1,971 sq ft lot; $323 HOA; Garage",Listing by Ashford Homes LLC,https://www.redfin.com/NY/Staten-Island/33-Dreyer-Ave-10314/home/56080000
"Property at 57 Bulwer Pl, Brooklyn, NY 11207, 2 beds, 2 baths","$700,000",2 beds,2 baths,"1,150 sq ft","2,650 sq ft lot; 3 garage spots; Somewhat walkable",Listing by Charles Rutenberg Realty Inc,https://www.redfin.com/NY/Brooklyn/57-Bulwer-Pl-11207/home/40757050
"Property at 81-12 62nd Ave Unit 81-12, Middle Village, NY 11379, 3 beds, 2 baths","$888,000",3 beds,2 baths,"1,296 sq ft","1,998 sq ft lot; Garage; Very walkable",Listing by Brown Harris Stevens FH,https://www.redfin.com/NY/Flushing/81-12-62nd-Ave-11379/unit-81-12/home/196213161
"Property at 345 E 93rd St Unit 31B, New York City, NY 10128, 1 bed, 1 bath","$715,000",1 bed,1 bath,750 sq ft,"$2,085 HOA; Garage; Walker's paradise",Listing by Douglas Elliman Real Estate • Provided by REBNY,https://www.redfin.com/NY/New-York/345-E-93rd-St-10128/unit-31B/home/45325447
"Property at 612 Hegeman Ave, Brooklyn, NY 11207, 6 beds, 4 baths","$1,200,000",6 beds,4 baths,"4,420 sq ft","2,600 sq ft lot; Very walkable",Listing by Bah Realty Group LLC,https://www.redfin.com/NY/Brooklyn/612-Hegeman-Ave-11207/home/109855470
"Property at 3 Court Sq #4006, New York City, NY 11101, 1 bed, 1 bath","$1,215,000",1 bed,1 bath,705 sq ft,$631 HOA; Garage; Walker's paradise,Listing by Modern Spaces • Provided by REBNY,https://www.redfin.com/NY/Long-Island-City/3-Court-Sq-W-11101/unit-4006/home/189850049
"Property at 611 Beach 68th St, Arverne, NY 11692, 7 beds, 2 baths","$799,999",7 beds,2 baths,"1,008 sq ft","2,750 sq ft lot; Somewhat walkable",Listing by New Construction Realty,https://www.redfin.com/NY/Arverne/611-Beach-68th-St-11692/home/20669429
"Property at 252 South St Unit 73K, New York (manhattan), NY 10002, 1 bed, 1 bath","$1,600,000",1 bed,1 bath,688 sq ft,"$1,067 HOA; Garage; Walker's paradise",Listing by Barnes New York,https://www.redfin.com/NY/New-York/252-South-St-10002/unit-73K/home/196246125
"Property at 64-05 Yellowstone Blvd Unit 316S, Forest Hills, NY 11375, 1 bed, 1.5 baths","$698,000",1 bed,1.5 baths,907 sq ft,$972 HOA; Garage; Very walkable,Listing by Century Homes Realty Group LLC,https://www.redfin.com/NY/Forest-Hills/6405-Yellowstone-Blvd-11375/unit-316S/home/21688074
"Property at 15815 Union Tpke Unit 2B, Fresh Meadows, NY 11366, 2 beds, 2 baths","$699,000",2 beds,2 baths,958 sq ft,0.28 acre lot; $354 HOA; Garage,Listing by Keller Williams Realty Elite,https://www.redfin.com/NY/Fresh-Meadows/15815-Union-Tpke-11366/unit-2B/home/170457095
"Property at 30 E 65th St Unit 12B, New York City, NY 10065, 1 bed, 2 baths","$1,550,000",1 bed,2 baths,— sq ft,"$3,494 HOA; Garage; Walker's paradise",Listing by Compass • Provided by REBNY,https://www.redfin.com/NY/New-York/30-E-65th-St-10065/unit-12B/home/45156174
"Property at 99-52 66 St Unit 11W, Rego Park, NY 11374, 2 beds, 1 bath","$429,000",2 beds,1 bath,900 sq ft,Garage; Walker's paradise,Listing by EXP Realty,https://www.redfin.com/NY/Rego-Park/9952-66th-Rd-11374/unit-11W/home/84264423
"Property at 143-20 Hoover Ave #605, Flushing, NY 11435, 1 bed, 1 bath","$449,888",1 bed,1 bath,788 sq ft,$299 HOA; Garage; Very walkable,Listing by Keller Williams Rlty Landmark,https://www.redfin.com/NY/Jamaica/14320-Hoover-Ave-11435/unit-605/home/25830623
"Property at 27110 Grand Central Pkwy Unit 1O, Floral Park, NY 11005, 1 bed, 1.5 baths","$459,000",1 bed,1.5 baths,"1,213 sq ft",Garage; Car-dependent,Listing by NSTowers Inc,https://www.redfin.com/NY/Floral-Park/27110-Grand-Central-Pkwy-11005/unit-1O/home/148572244
"Property at 207 E 57th St Unit 19B, New York City, NY 10022, 2 beds, 2.5 baths","$2,750,000",2 beds,2.5 baths,"1,628 sq ft","$1,994 HOA; Walker's paradise",Listing by Douglas Elliman Real Estate • Provided by REBNY,https://www.redfin.com/NY/New-York/207-E-57th-St-10022/unit-19B/home/45187634
"Property at 15 W 61st St Unit 9E, New York City, NY 10023, 1 bed, 1 bath","$1,950,000",1 bed,1 bath,777 sq ft,$945 HOA; Walker's paradise,Listing by Corcoran Group • Provided by REBNY,https://www.redfin.com/NY/New-York/15-W-61st-St-10023/unit-9E/home/173151639
"Property at 2928 Fenton Ave, Bronx, NY 10469, 4 beds, 3 baths","$675,000",4 beds,3 baths,"1,981 sq ft","3,000 sq ft lot; Garage; Walker's paradise",Listing by Howard Hanna Rand Realty,https://www.redfin.com/NY/Bronx/2928-Fenton-Ave-10469/home/44743803
"Property at 45-16 83 St Unit E5A, Elmhurst, NY 11373, 2 beds, 2 baths","$728,000",2 beds,2 baths,937 sq ft,$537 HOA; Walker's paradise,Listing by Winzone Realty Inc,https://www.redfin.com/NY/Elmhurst/4516-83rd-St-11373/unit-E5A/home/196255050
"Property at 8434 Smedley St, Briarwood, NY 11435, 7 beds, 5 baths","$1,588,888",7 beds,5 baths,— sq ft,"2,208 sq ft lot; Very walkable",Listing by CPRE Elite Inc,https://www.redfin.com/NY/Jamaica/8434-Smedley-St-11435/home/20765807
"Property at 10002 4th Ave Unit 5-A, Brooklyn, NY 11209, 2 beds, 2 baths","$999,000",2 beds,2 baths,"1,098 sq ft",$520 HOA; Garage; Walker's paradise,Listing by A & I Broadway Realty Inc • Provided by REBNY,https://www.redfin.com/NY/Brooklyn/10002-4th-Ave-11209/unit-5A/home/40678573
"Property at 9917 Shore Rd Unit 7C, Brooklyn, NY 11209, 2 beds, 2 baths","$1,099,000",2 beds,2 baths,"1,176 sq ft",Garage; Very walkable,"Listing by Compass Greater New York, LLC",https://www.redfin.com/NY/Brooklyn/9917-Shore-Rd-11209/unit-7C/home/59294035
"Property at 303 E 57th St Unit 32C, New York City, NY 10022, 1 bed, 1.5 baths","$490,000",1 bed,1.5 baths,"1,100 sq ft","$4,600 HOA; Garage; Walker's paradise",Listing by Brown Harris Stevens Residential Sales LLC • Provided by REBNY,https://www.redfin.com/NY/New-York/303-E-57th-St-10022/unit-32C/home/45155477
"Property at 993 Park Ave Unit 11A, New York City, NY 10028, 2 beds, 2.5 baths","$2,495,000",2 beds,2.5 baths,"1,859 sq ft","$9,513 HOA; Walker's paradise",Listing by Bank Neary Inc • Provided by REBNY,https://www.redfin.com/NY/New-York/993-Park-Ave-10028/unit-11A/home/196254840
"Property at 18 Cottage Pl, Staten Island, NY 10302, 3 beds, 1.5 baths","$499,900",3 beds,1.5 baths,"1,300 sq ft","2,880 sq ft lot; Very walkable",Listing by Century 21 Papp Realty,https://www.redfin.com/NY/Staten-Island/18-Cottage-Pl-10302/home/56063544
"Property at 90 La Salle St Unit 5A, New York City, NY 10027, 2 beds, 1 bath","$595,000",2 beds,1 bath,— sq ft,"$1,460 HOA; Walker's paradise",Listing by Berkshire Hathaway HomeServices New York Properties • Provided by REBNY,https://www.redfin.com/NY/New-York/90-La-Salle-St-10027/unit-5A/home/193355306
"Property at 144 Winchester Ave, Staten  Island, NY 10312, 2 beds, 1.5 baths","$769,000",2 beds,1.5 baths,"1,000 sq ft","5,000 sq ft lot; Somewhat walkable",Listing by Re Max Team,https://www.redfin.com/NY/Staten-Island/144-Winchester-Ave-10312/home/56127193
"Property at 115-08 145 St, Jamaica, NY 11436, 6 beds, 3 baths","$999,999",6 beds,3 baths,"2,024 sq ft","4,000 sq ft lot; Very walkable",Listing by Century 21 Milestone Team Rlty,https://www.redfin.com/NY/Jamaica/11508-145th-St-11436/home/20718472
"Property at 10909 169th Pl, Jamaica, NY 11433, 3 beds, 1 bath","$500,000",3 beds,1 bath,"1,343 sq ft","2,210 sq ft lot; Garage; Very walkable",Listing by NY Home Ventures,https://www.redfin.com/NY/Jamaica/10909-169th-Pl-11433/home/20757689
"Property at 100 Claremont Ave Unit 15F, New York City, NY 10027, 3 beds, 3 baths","$2,785,000",3 beds,3 baths,"1,577 sq ft","$2,161 HOA; Garage; Walker's paradise",Listing by Corcoran Sunshine Marketing Group • Provided by REBNY,https://www.redfin.com/NY/New-York/100-Claremont-Ave-10027/unit-15F/home/191501983
"Property at 225 W 86th St #407, New York City, NY 10024, 2 beds, 2.5 baths","$3,995,000",2 beds,2.5 baths,"1,492 sq ft","$1,577 HOA; Walker's paradise",Listing by Douglas Elliman Real Estate • Provided by REBNY,https://www.redfin.com/NY/New-York/225-W-86th-St-10024/unit-407/home/196254117
"Property at 40-44 Hampton St, Elmhurst, NY 11373, 8 beds, 3 baths","$2,150,000",8 beds,3 baths,"3,263 sq ft","4,286 sq ft lot; 2 garage spots; Walker's paradise",Listing by Winzone Realty Inc,https://www.redfin.com/NY/Elmhurst/4044-Hampton-St-11373/home/20931538
"Property at 3850 Hudson Manor Ter Unit 6DE, New York City, NY 10463, 2 beds, 2 baths","$359,000",2 beds,2 baths,"1,200 sq ft","$1,517 HOA; Very walkable",Listing by Compass • Provided by REBNY,https://www.redfin.com/NY/Bronx/3850-Hudson-Manor-Ter-10463/unit-6DE/home/40496842
"Property at 44-15 College Point Blvd Unit 3F, Flushing, NY 11355, 1 bed, 1 bath","$599,900",1 bed,1 bath,471 sq ft,"9,494 sq ft lot; $247 HOA; Walker's paradise",Listing by E Realty International Corp,https://www.redfin.com/NY/Flushing/4415-College-Point-Blvd-11355/unit-3F/home/185500765
"Property at 10411 188th St, Saint Albans, NY 11412, 2 beds, 2 baths","$649,000",2 beds,2 baths,"1,020 sq ft","2,700 sq ft lot; Garage; Very walkable",Listing by Keystone Realty USA Corp,https://www.redfin.com/NY/Saint-Albans/10411-188th-St-11412/home/20752416
"Property at 151-10 33rd Ave, Flushing, NY 11354, 3 beds, 2 baths","$1,088,000",3 beds,2 baths,"1,488 sq ft","2,525 sq ft lot; Garage; Walker's paradise",Listing by RE/MAX 1st Choice,https://www.redfin.com/NY/Flushing/15110-33rd-Ave-11354/home/20851518
"Property at 536 46th St, Brooklyn, NY 11220, 6 beds, 3 baths","$1,638,000",6 beds,3 baths,"1,716 sq ft","1,970 sq ft lot; Walker's paradise",Listing by Century 21 Realty First,https://www.redfin.com/NY/Brooklyn/536-46th-St-11220/home/40691663
"Property at 49 Bamberger Ln, Staten Island, NY 10312, 3 beds, 2 baths","$899,900",3 beds,2 baths,"1,750 sq ft","4,704 sq ft lot; Garage; Pool",Listing by Gillani Homes Inc.,https://www.redfin.com/NY/Staten-Island/49-Bamberger-Ln-10312/home/56109836
"Property at 85-23 Broadway Unit 7C, Elmhurst, NY 11373, 2 beds, 2 baths","$668,000",2 beds,2 baths,800 sq ft,$339 HOA; Walker's paradise,Listing by Winzone Realty Inc,https://www.redfin.com/NY/Elmhurst/8523-Broadway-11373/unit-7C/home/28685146
"Property at 40 Oceana Dr Unit 5G, Brooklyn, NY 11235, 2 beds, 2 baths","$989,000",2 beds,2 baths,"1,250 sq ft",Pool; Walker's paradise,Listing by Hometown Properties,https://www.redfin.com/NY/Brooklyn/40-Oceana-Dr-W-11235/unit-5G/home/40637611
"Property at 2156 Cruger Ave Unit 5G, Bronx, NY 10462, 2 beds, 1 bath","$185,000",2 beds,1 bath,"1,000 sq ft",Walker's paradise,Listing by Lopez Realty Team Inc,https://www.redfin.com/NY/Bronx/2156-Cruger-Ave-10462/unit-5G/home/178983044
"Property at 2155 Walton Ave, Bronx, NY 10453, 7 beds, 3 baths","$929,000",7 beds,3 baths,"1,406 sq ft","1,425 sq ft lot; Walker's paradise",Listing by WW Realty Group Inc,https://www.redfin.com/NY/Bronx/2155-Walton-Ave-10453/home/44754708
"Property at 699 Henderson Ave, Staten  Island, NY 10310, 4 beds, 3.5 baths","$749,000",4 beds,3.5 baths,"2,500 sq ft","5,412 sq ft lot; Very walkable",Listing by Exit All Seasons Realty,https://www.redfin.com/NY/Staten-Island/699-Henderson-Ave-10310/home/56082625
"Property at 145 Lincoln Ave Unit 1k, Staten Island, NY 10306, 2 beds, 1 bath","$385,000",2 beds,1 bath,999 sq ft,$484 HOA; Very walkable,"Listing by Neuhaus Realty, Inc.",https://www.redfin.com/NY/Staten-Island/145-Lincoln-Ave-10306/unit-1K/home/56110640
"Property at 67-38 108th St Unit C53, Forest Hills, NY 11375, 1 bed, 1 bath","$299,000",1 bed,1 bath,— sq ft,Garage; Very walkable,Listing by EXP Realty,https://www.redfin.com/NY/Forest-Hills/6738-108th-St-11375/unit-C53/home/143394351
"Property at 37-20 Prince St Unit 12C, Flushing, NY 11354, 2 beds, 1 bath","$778,000",2 beds,1 bath,885 sq ft,$410 HOA; Walker's paradise,Listing by E Realty International Corp,https://www.redfin.com/NY/Flushing/3720-Prince-St-11354/unit-12C/home/40938626
"Property at 527 57th St, Brooklyn, NY 11220","$1,599,000",0 beds,— baths,"1,648 sq ft","2,003 sq ft lot; Walker's paradise",Listing by RE/MAX Edge,https://www.redfin.com/NY/Brooklyn/527-57th-St-11220/home/40694629
"Property at 95-37 111, Richmond Hill S., NY 11419, 3 beds, 2 baths","$599,999",3 beds,2 baths,"1,500 sq ft",Very walkable,Listing by Realty Connect USA LLC,https://www.redfin.com/NY/South-Richmond-Hill/9537-111th-St-11419/home/20776448
"Property at 15 Central Park W Unit 24F, New York City, NY 10023, 2 beds, 2.5 baths","$6,500,000",2 beds,2.5 baths,"1,422 sq ft","$3,527 HOA; Garage; Walker's paradise",Listing by Corcoran Group • Provided by REBNY,https://www.redfin.com/NY/New-York/15-Central-Park-W-10023/unit-24F/home/45195211
"Property at 38-15 149 St Unit 3F, Flushing, NY 11354, 2 beds, 1 bath","$398,000",2 beds,1 bath,900 sq ft,Walker's paradise,Listing by Chous Realty Group Inc,https://www.redfin.com/NY/Flushing/3815-149th-St-11354/unit-3F/home/196253679
"Property at 165 Lexington Ave Unit 2B, New York City, NY 10016, 1 bath","$775,000",0 beds,1 bath,432 sq ft,$407 HOA; Walker's paradise,Listing by Corcoran Group • Provided by REBNY,https://www.redfin.com/NY/New-York/165-Lexington-Ave-10016/unit-2B/home/177302503
"Property at 23 E 21st St #3, New York City, NY 10010, 4 beds, 1 bath","$3,950,000",4 beds,1 bath,"4,300 sq ft","$3,681 HOA; Walker's paradise",Listing by Compass • Provided by REBNY,https://www.redfin.com/NY/New-York/23-E-21st-St-10010/unit-3/home/196253651
"Property at 102 Noel Ave, Brooklyn, NY 11229, 2 beds, 2 baths","$788,000",2 beds,2 baths,"1,255 sq ft","1,800 sq ft lot; Somewhat walkable",Listing by Bergen Basin Realty LLC,https://www.redfin.com/NY/Brooklyn/102-Noel-Ave-11229/home/40911507
"Property at 70-20 108th St Unit 9O, New York City, NY 11375, 1 bath","$310,000",0 beds,1 bath,620 sq ft,$751 HOA; Garage; Walker's paradise,Listing by Hauseit LLC • Provided by REBNY,https://www.redfin.com/NY/Flushing/7020-108th-St-11375/unit-9O/home/194158294
"Property at 1014 E 40th St, Brooklyn, NY, 3 beds, 1 bath","$770,000",3 beds,1 bath,"1,408 sq ft","2,000 sq ft lot; Garage; Very walkable",Listing by BHHS Fillmore R.E.,https://www.redfin.com/NY/Brooklyn/1014-E-40th-St-11210/home/40875782
"Property at 282 Seaview Ave, Staten Island, NY 10305, 3 beds, 4 baths","$988,888",3 beds,4 baths,"2,460 sq ft","4,550 sq ft lot; 2 garage spots; Very walkable",Listing by Prereal Prendamano Real Estate,https://www.redfin.com/NY/Staten-Island/282-Seaview-Ave-10305/home/148268320
"Property at 695 1st Ave Unit 38B, New York City, NY 10016, 2 beds, 2.5 baths","$2,350,000",2 beds,2.5 baths,"1,576 sq ft","$2,426 HOA; Walker's paradise",Listing by Douglas Elliman Real Estate • Provided by REBNY,https://www.redfin.com/NY/New-York/695-1st-Ave-10016/unit-38B/home/180460801
"Property at 249-01 61st Ave #450, Little Neck, NY 11362, 1 bed, 1 bath","$299,000",1 bed,1 bath,657 sq ft,Garage; Very walkable,Listing by EXP Realty,https://www.redfin.com/NY/Little-Neck/24901-61st-Ave-11362/unit-450/home/40392745
"Property at 303 E 57th St Unit 30F, New York City, NY 10022, 3 beds, 3 baths","$849,000",3 beds,3 baths,"2,200 sq ft","$7,912 HOA; Garage; Walker's paradise",Listing by Coldwell Banker Warburg • Provided by REBNY,https://www.redfin.com/NY/New-York/303-E-57th-St-10022/unit-30F/home/45155475
"Property at 60 Sutton Pl S Unit 3EN, New York City, NY 10022, 1 bed, 1.5 baths","$999,000",1 bed,1.5 baths,— sq ft,"$2,194 HOA; Garage; Walker's paradise",Listing by Brown Harris Stevens Residential Sales LLC • Provided by REBNY,https://www.redfin.com/NY/New-York/60-Sutton-Pl-S-10022/unit-3EN/home/45230129
"Property at 60 Oceana Dr W Unit 4I, Brooklyn, NY 11235, 3 beds, 3 baths","$1,499,000",3 beds,3 baths,"1,569 sq ft",Garage; Pool; Walker's paradise,Listing by Golden Real,https://www.redfin.com/NY/Brooklyn/60-Oceana-Dr-W-11235/unit-4I/home/40914600
"Property at 304 Bay 17th St Unit 2A, Brooklyn, NY 11214, 1 bed, 1 bath","$289,000",1 bed,1 bath,700 sq ft,Very walkable,Listing by ProBase Real Estate,https://www.redfin.com/NY/Brooklyn/304-Bay-17th-St-11214/unit-2A/home/171335260
"Property at 303 E 57th St Unit 39A, New York City, NY 10022, 3 beds, 3 baths","$849,000",3 beds,3 baths,— sq ft,"$8,649 HOA; Garage; Walker's paradise",Listing by Brown Harris Stevens Residential Sales LLC • Provided by REBNY,https://www.redfin.com/NY/New-York/303-E-57th-St-10022/unit-39A/home/188609726
Property at 8837 Pitkin Ave, Ozone Park, NY 11417, 10 beds, 6 baths, Ozone Park, NY 11417, 10 beds, 6 baths","$1,800,000",10 beds,6 baths,"3,432 sq ft","3,050 sq ft lot; Garage; Very walkable",Listing by Connexion I Rl Est Svcs Inc,https://www.redfin.com/NY/Ozone-Park/8837-Pitkin-Ave-11417/home/20730099
"Property at 366 Broadway Unit PHC, New York City, NY 10013, 2 beds, 2 baths","$3,299,000",2 beds,2 baths,— sq ft,"$4,190 HOA; Walker's paradise",Listing by Compass • Provided by REBNY,https://www.redfin.com/NY/New-York/366-Broadway-10003/unit-PHC/home/160668233
"Property at 35-21 81st St Unit 1B, Jackson Heights, NY 11372, 2 beds, 1 bath","$659,000",2 beds,1 bath,"1,250 sq ft",Walker's paradise,Listing by Properties Logan Inc,https://www.redfin.com/NY/Jackson-Heights/3521-81st-St-11372/unit-1B/home/147902819
"Property at 201 E 23rd St Unit 3D, New York City, NY 10010, 1 bed, 1 bath","$1,325,000",1 bed,1 bath,708 sq ft,"$2,142 HOA; Walker's paradise",Listing by Compass • Provided by REBNY,https://www.redfin.com/NY/New-York/201-E-23rd-St-10010/unit-3D/home/196253100
"Property at 15 Gridley Ave, Staten Island, NY 10303, 3 beds, 3.5 baths","$689,000",3 beds,3.5 baths,"1,620 sq ft","3,375 sq ft lot; Very walkable",Listing by Ashford Homes LLC,https://www.redfin.com/NY/Staten-Island/15-Gridley-Ave-10303/home/56102121
"Property at 34-24 82nd St #2, Jackson Heights, NY 11372, 1 bed, 1 bath","$285,000",1 bed,1 bath,800 sq ft,Walker's paradise,Listing by Properties Logan Inc,https://www.redfin.com/NY/Queens/34-24-82nd-St-11372/unit-2/home/175087110
"Property at 8115 35th Ave #6, Jackson Heights, NY 11372, 1 bed, 1 bath","$315,000",1 bed,1 bath,650 sq ft,Walker's paradise,Listing by Properties Logan Inc,https://www.redfin.com/NY/Queens/81-15-35th-Ave-11372/unit-6/home/187245997
"Property at 264 Water St Unit 3A, New York City, NY 10038, 2 beds, 2 baths","$1,450,000",2 beds,2 baths,"1,317 sq ft","$1,592 HOA; Walker's paradise",Listing by Corcoran Group • Provided by REBNY,https://www.redfin.com/NY/New-York/264-Water-St-10038/unit-3A/home/105885110
"Property at 304 W 115th St Unit 5B, New York City, NY 10026, 2 beds, 2 baths","$1,235,000",2 beds,2 baths,"1,361 sq ft","$1,280 HOA; Walker's paradise",Listing by Corcoran Group • Provided by REBNY,https://www.redfin.com/NY/New-York/304-W-115th-St-10026/unit-5B/home/45139049
"Property at 300 E 33rd St Unit 9D, New York City, NY 10016, 1 bath","$700,000",0 beds,1 bath,550 sq ft,$426 HOA; Garage; Walker's paradise,Listing by Compass • Provided by REBNY,https://www.redfin.com/NY/New-York/300-E-33rd-St-10016/unit-9D/home/45256978
"Property at 95 Greene St Unit 2-E, New York City, NY 10012, 2 beds, 2.5 baths","$3,600,000",2 beds,2.5 baths,"1,300 sq ft","$1,281 HOA; Walker's paradise",Listing by Casa Blanca Real Estate • Provided by REBNY,https://www.redfin.com/NY/New-York/95-Greene-St-10012/unit-2E/home/145086808
"Property at 1275 E 51st St Unit 7C, Brooklyn, NY 11234, 1 bed, 1 bath","$220,000",1 bed,1 bath,639 sq ft,"$1,109 HOA; Garage; Very walkable",Listing by Our Community Realty Ltd,https://www.redfin.com/NY/Brooklyn/1275-E-51st-St-11234/unit-7C/home/40661685
"Property at 45 East Loop Rd, Staten Island, NY 10304, 4 beds, 3.5 baths","$1,840,000",4 beds,3.5 baths,"2,580 sq ft",1.15 acre lot; 2 garage spots; Pool,Listing by Toscana Property LLC,https://www.redfin.com/NY/Staten-Island/45-E-Loop-Rd-10304/home/56035766
"Property at 1912 Bay Ridge Pkwy, Brooklyn, NY 11204, 11 beds, 7 baths","$1,198,000",11 beds,7 baths,"5,364 sq ft","2,500 sq ft lot; Walker's paradise",Listing by E House Realty & Mgt. Inc,https://www.redfin.com/NY/Brooklyn/1912-Bay-Ridge-Pkwy-11204/home/40824925
"Property at 3247 78 St, East Elmhurst, NY 11370, 3 beds, 2 baths","$980,000",3 beds,2 baths,"1,620 sq ft","1,800 sq ft lot; 4 garage spots; Very walkable",Listing by Winzone Realty Inc,https://www.redfin.com/NY/East-Elmhurst/3247-78th-St-11370/home/20942194
"Property at 3751 86th St Unit 5C, Jackson Heights, NY 11372, 1 bed, 1 bath","$250,000",1 bed,1 bath,800 sq ft,Walker's paradise,Listing by Dom Realty of NY Inc,https://www.redfin.com/NY/Jackson-Heights/3751-86th-St-11372/unit-5C/home/196246140
"Property at 254-61 75th Ave Unit A11-1, Glen Oaks, NY 11004, 1 bed, 1 bath","$189,000",1 bed,1 bath,518 sq ft,Very walkable,Listing by Compass Greater NY LLC,https://www.redfin.com/NY/Glen-Oaks/25461-75th-Ave-11004/unit-A111/home/20647030
"Property at 96 Lefferts Pl #4, Brooklyn, NY 11238, 2 beds, 2 baths","$1,480,000",2 beds,2 baths,"1,215 sq ft",$350 HOA; Walker's paradise,Listing by Corcoran Group • Provided by REBNY,https://www.redfin.com/NY/Brooklyn/96-Lefferts-Pl-11238/unit-4/home/115677831
